                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.472,                 5.6173,                 4.2401,                 0.0006,                0.00097,                0.00031,                  7e-05,                 4.5861,                 5.5625,                 4.1096,             6.1314e-05,             6.1314e-05,             6.1314e-05
                      2,                 4.2204,                 5.1237,                 3.9235,                0.00105,                0.01675,                0.00069,                0.00019,                 4.2132,                 4.5603,                  3.699,             0.00012055,             0.00012055,             0.00012055
                      3,                 3.8851,                 4.5032,                 3.4779,                0.16547,                0.01568,                0.00177,                0.00047,                 3.7296,                 4.0118,                 3.1432,             0.00017734,             0.00017734,             0.00017734
                      4,                 3.4876,                 4.0123,                 3.0944,                0.00389,                0.08136,                0.00399,                0.00116,                 3.4139,                 3.6816,                 2.8839,             0.00017401,             0.00017401,             0.00017401
                      5,                 3.2301,                 3.7295,                 2.8323,                0.36327,                0.01746,                0.00647,                0.00207,                 3.1248,                 3.4244,                 2.6068,             0.00017401,             0.00017401,             0.00017401
                      6,                 2.9583,                 3.4746,                 2.6131,                0.31877,                0.02168,                0.01145,                0.00406,                 2.8988,                  3.239,                 2.5158,             0.00017035,             0.00017035,             0.00017035
                      7,                 2.7404,                 3.2616,                 2.4294,                0.38243,                0.04909,                0.02046,                0.00858,                 2.6709,                 3.0451,                 2.3205,             0.00016668,             0.00016668,             0.00016668
                      8,                 2.5872,                 3.1409,                 2.3017,                0.44394,                0.05677,                0.02787,                0.01213,                 2.5148,                 2.9329,                 2.1897,             0.00016302,             0.00016302,             0.00016302
                      9,                 2.4887,                 3.0453,                 2.1916,                 0.2821,                0.07282,                0.03204,                0.01448,                 2.4188,                 2.9258,                  2.096,             0.00015936,             0.00015936,             0.00015936
                     10,                 2.3627,                 2.9268,                 2.1015,                0.31594,                0.08011,                0.03546,                0.01712,                 2.3428,                 2.7763,                 2.0613,              0.0001557,              0.0001557,              0.0001557
                     11,                 2.3093,                 2.8916,                 2.0409,                0.35208,                0.09747,                0.04141,                 0.0191,                 2.2896,                 2.6713,                 2.0105,             0.00015203,             0.00015203,             0.00015203
                     12,                 2.2392,                 2.7994,                 1.9817,                0.32641,                0.09506,                0.04413,                0.02184,                 2.2274,                 2.6759,                 1.9655,             0.00014837,             0.00014837,             0.00014837
                     13,                 2.1936,                 2.7636,                 1.9356,                0.34851,                0.08091,                0.04765,                0.02349,                  2.237,                 2.6052,                 1.9566,             0.00014471,             0.00014471,             0.00014471
                     14,                 2.1405,                 2.7027,                 1.8814,                0.31956,                0.10399,                0.05858,                0.03121,                 2.1576,                 2.5296,                 1.8852,             0.00014104,             0.00014104,             0.00014104
                     15,                 2.1107,                 2.6741,                 1.8483,                0.36453,                0.10575,                0.06014,                0.03178,                 2.1377,                 2.5056,                 1.8673,             0.00013738,             0.00013738,             0.00013738
                     16,                 2.0743,                 2.6237,                 1.8174,                0.36598,                 0.1268,                0.07294,                0.03963,                 2.0908,                 2.4069,                 1.8299,             0.00013372,             0.00013372,             0.00013372
                     17,                 2.0628,                  2.609,                 1.7971,                0.34203,                0.11342,                 0.0668,                0.03535,                 2.0667,                 2.4663,                 1.8111,             0.00013005,             0.00013005,             0.00013005
                     18,                 2.0111,                 2.5728,                 1.7593,                0.29969,                0.14719,                  0.079,                0.04354,                 2.0457,                 2.4059,                 1.7683,             0.00012639,             0.00012639,             0.00012639
